,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
632,2016-01-15,2016,Ride Along 2,Comedy,Live Action,Contemporary Fiction,40000000,90862685,33964631,124827316.0,January
633,2016-08-26,2016,Donât Breathe,Horror,Live Action,Contemporary Fiction,10000000,89217875,69755810,158973685.0,August
634,2016-09-30,2016,Miss Peregrineâs Home for Peculiar …,Adventure,Animation/Live Action,Fantasy,110000000,87242834,208744042,295986876.0,September
635,2016-10-14,2016,The Accountant,Thriller/Suspense,Live Action,Contemporary Fiction,40000000,86260045,66702038,152962083.0,October
636,2016-06-03,2016,Teenage Mutant Ninja Turtles: Out of …,Adventure,Animation/Live Action,Super Hero,135000000,82051601,163276773,245328374.0,June
637,2016-07-01,2016,The Purge: Election Year,Horror,Live Action,Science Fiction,10000000,79042440,39472287,118514727.0,July
638,2016-05-27,2016,Alice Through the Looking Glass,Adventure,Animation/Live Action,Fantasy,170000000,77042381,199885731,276928112.0,May
639,2016-08-12,2016,Peteâs Dragon,Adventure,Animation/Live Action,Kids Fiction,65000000,76233151,61535824,137768975.0,August
640,2016-10-07,2016,The Girl on the Train,Thriller/Suspense,Live Action,Contemporary Fiction,45000000,75395035,98883179,174278214.0,October
641,2016-10-21,2016,Tyler Perryâs Boo! A Madea Halloween,Comedy,Live Action,Contemporary Fiction,20000000,73206343,0,73206343.0,October
642,2016-09-23,2016,Storks,Adventure,Digital Animation,Kids Fiction,70000000,72679278,110674153,183353431.0,September
643,2016-03-11,2016,10 Cloverfield Lane,Thriller/Suspense,Live Action,Contemporary Fiction,15000000,72082999,36203423,108286422.0,March
644,2016-07-22,2016,Lights Out,Horror,Live Action,Contemporary Fiction,5000000,67268835,81537675,148806510.0,July
645,2016-11-04,2016,Hacksaw Ridge,Drama,Live Action,Dramatization,40000000,67209615,101695067,168904682.0,November
646,2016-03-18,2016,The Divergent Series: Allegiant,Action,Live Action,Science Fiction,110000000,66184051,105838466,172022517.0,March
647,2016-06-10,2016,Now You See Me 2,Thriller/Suspense,Live Action,Contemporary Fiction,90000000,65075540,263249467,328325007.0,June
648,2016-07-22,2016,Ice Age: Collision Course,Adventure,Digital Animation,Kids Fiction,105000000,64063008,338093674,402156682.0,July
649,2016-04-08,2016,The Boss,Comedy,Live Action,Contemporary Fiction,29000000,63077560,15574647,78652207.0,April
650,2016-03-04,2016,London Has Fallen,Thriller/Suspense,Live Action,Contemporary Fiction,60000000,62524260,132669825,195194085.0,March
651,2016-03-16,2016,Miracles from Heaven,Drama,Live Action,Dramatization,13000000,61705123,12093613,73798736.0,March
652,2016-09-30,2016,Deepwater Horizon,Thriller/Suspense,Live Action,Dramatization,156000000,61433527,61170297,122603824.0,September
653,2016-12-23,2016,Why Him?,Comedy,Live Action,Contemporary Fiction,38000000,60323786,57101370,117425156.0,December
654,2016-03-25,2016,My Big Fat Greek Wedding 2,Comedy,Live Action,Contemporary Fiction,18000000,59689605,32406953,92096558.0,March
655,2016-10-21,2016,Jack Reacher: Never Go Back,Action,Live Action,Contemporary Fiction,60000000,58697076,101249413,159946489.0,October
656,2016-12-16,2016,Fences,Drama,Live Action,Historical Fiction,24000000,57682904,6599977,64282881.0,December
657,2016-06-03,2016,Me Before You,Drama,Live Action,Contemporary Fiction,20000000,56245075,152020123,208265198.0,June
658,2016-07-01,2016,The BFG,Adventure,Animation/Live Action,Kids Fiction,140000000,55483770,144162910,199646680.0,July
659,2016-05-20,2016,Neighbors 2: Sorority Rising,Comedy,Live Action,Contemporary Fiction,35000000,55340730,53416891,108757621.0,May
660,2016-06-24,2016,The Shallows,Drama,Live Action,Contemporary Fiction,13000000,55121623,63641819,118763442.0,June
661,2016-12-09,2016,Office Christmas Party,Comedy,Live Action,Contemporary Fiction,45000000,54767494,60330380,115097874.0,December
662,2016-12-21,2016,Assassinâs Creed,Action,Live Action,Science Fiction,125000000,54647948,186111734,240759682.0,December
663,2016-04-15,2016,Barbershop: The Next Cut,Comedy,Live Action,Contemporary Fiction,20000000,54030051,374151,54404202.0,April
664,2016-01-15,2016,13 Hours: The Secret Soldiers of Beng…,Drama,Live Action,Dramatization,50000000,52853219,16558151,69411370.0,January
665,2016-11-25,2016,Lion,Drama,Live Action,Dramatization,12000000,51739495,97831225,149570720.0,November
666,2016-08-19,2016,Kubo and the Two Strings,Adventure,Stop-Motion Animation,Fantasy,55000000,48023088,29525034,77548122.0,August
667,2016-04-22,2016,The Huntsman: Winterâs War,Action,Live Action,Fantasy,115000000,48003015,117146287,165149302.0,April
668,2016-11-18,2016,Manchester by the Sea,Drama,Live Action,Contemporary Fiction,8500000,47695371,30038496,77733867.0,November
669,2016-06-10,2016,Warcraft,Action,Live Action,Fantasy,160000000,47365290,391534534,438899824.0,June
670,2016-02-12,2016,How to be Single,Romantic Comedy,Live Action,Contemporary Fiction,37000000,46843513,53160267,100003780.0,February
671,2016-07-08,2016,Mike and Dave Need Wedding Dates,Comedy,Live Action,Contemporary Fiction,33000000,46009673,29888427,75898100.0,July
672,2016-08-19,2016,War Dogs,Comedy,Live Action,Dramatization,50000000,43034523,43199980,86234503.0,August
673,2016-11-11,2016,Almost Christmas,Drama,Live Action,Contemporary Fiction,17000000,42065185,428321,42493506.0,November
674,2016-05-13,2016,Money Monster,Thriller/Suspense,Live Action,Contemporary Fiction,27000000,41012075,52454020,93466095.0,May
675,2016-11-23,2016,Allied,Drama,Live Action,Historical Fiction,106000000,40098064,79168597,119266661.0,November
676,2016-07-27,2016,Nerve,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,38583626,47000319,85583945.0,July
677,2016-02-19,2016,Risen,Drama,Live Action,Historical Fiction,20000000,36880033,9375730,46255763.0,February
678,2016-05-20,2016,The Nice Guys,Black Comedy,Live Action,Historical Fiction,50000000,36261763,23334984,59596747.0,May
679,2016-01-22,2016,The Boy,Horror,Live Action,Contemporary Fiction,10000000,35819556,32401396,68220952.0,January
680,2016-01-22,2016,Dirty Grandpa,Comedy,Live Action,Contemporary Fiction,11500000,35593113,69485336,105078449.0,January
681,2016-10-21,2016,Ouija: Origin of Evil,Horror,Live Action,Historical Fiction,9000000,35144505,46687361,81831866.0,October
682,2016-01-22,2016,The 5th Wave,Action,Live Action,Science Fiction,38000000,34912982,76423416,111336398.0,January
683,2016-10-28,2016,Inferno,Thriller/Suspense,Live Action,Contemporary Fiction,75000000,34343574,185175793,219519367.0,October
