,release_date,release_year,title,genre,prod_method,creative_type,budget,dom_gross,int_gross,world_gross,release_month
0,2010-06-18,2010,Toy Story 3,Adventure,Digital Animation,Kids Fiction,200000000,415004880,653874642,1068879522.0,June
1,2010-03-05,2010,Alice in Wonderland,Adventure,Animation/Live Action,Fantasy,200000000,334191110,691300000,1025491110.0,March
2,2010-05-07,2010,Iron Man 2,Action,Live Action,Super Hero,170000000,312433331,308723058,621156389.0,May
3,2010-06-30,2010,The Twilight Saga: Eclipse,Drama,Live Action,Fantasy,68000000,300531751,405571077,706102828.0,June
4,2010-11-19,2010,Harry Potter and the Deathly Hallows:…,Adventure,Animation/Live Action,Fantasy,125000000,296131568,661099825,957231393.0,November
5,2010-07-16,2010,Inception,Thriller/Suspense,Animation/Live Action,Science Fiction,160000000,292576195,436006270,728582465.0,July
6,2010-07-09,2010,Despicable Me,Adventure,Digital Animation,Kids Fiction,69000000,251513985,291950588,543464573.0,July
7,2010-05-21,2010,Shrek Forever After,Adventure,Digital Animation,Kids Fiction,165000000,238736787,517507886,756244673.0,May
8,2010-03-26,2010,How to Train Your Dragon,Adventure,Digital Animation,Fantasy,165000000,217581232,277289760,494870992.0,March
9,2010-11-24,2010,Tangled,Musical,Digital Animation,Kids Fiction,260000000,200821936,384905155,585727091.0,November
11,2010-12-17,2010,Tron: Legacy,Adventure,Live Action,Science Fiction,200000000,172062763,228000000,400062763.0,December
12,2010-12-22,2010,True Grit,Western,Live Action,Historical Fiction,35000000,171243005,81033923,252276928.0,December
13,2010-04-01,2010,Clash of the Titans,Action,Live Action,Fantasy,125000000,163214888,330000000,493214888.0,April
14,2010-06-25,2010,Grown Ups,Comedy,Live Action,Contemporary Fiction,75000000,162001186,110221814,272223000.0,June
15,2010-12-22,2010,Little Fockers,Comedy,Live Action,Contemporary Fiction,100000000,148438600,162211974,310650574.0,December
16,2010-11-05,2010,Megamind,Adventure,Digital Animation,Kids Fiction,130000000,148415853,173471355,321887208.0,November
17,2010-11-26,2010,The Kingâs Speech,Drama,Live Action,Dramatization,15000000,138797449,292023719,430821168.0,November
18,2010-07-01,2010,The Last Airbender,Adventure,Live Action,Fantasy,150000000,131772187,187941694,319713881.0,July
20,2010-08-06,2010,The Other Guys,Comedy,Live Action,Contemporary Fiction,100000000,119219978,51716492,170936470.0,August
21,2010-07-23,2010,Salt,Thriller/Suspense,Live Action,Contemporary Fiction,130000000,118311368,172339126,290650494.0,July
22,2010-10-15,2010,Jackass 3D,Comedy,Live Action,Factual,20000000,117229692,54456101,171685793.0,October
24,2010-12-03,2010,Black Swan,Thriller/Suspense,Live Action,Contemporary Fiction,13000000,106954678,224312032,331266710.0,December
25,2010-05-14,2010,Robin Hood,Action,Live Action,Historical Fiction,210000000,105487148,216971858,322459006.0,May
26,2010-12-10,2010,The Chronicles of Narnia: The Voyage …,Adventure,Animation/Live Action,Fantasy,155000000,104386950,313800000,418186950.0,December
27,2010-08-13,2010,The Expendables,Action,Live Action,Contemporary Fiction,82000000,103068524,165199650,268268174.0,August
28,2010-11-05,2010,Due Date,Comedy,Live Action,Contemporary Fiction,65000000,100539043,111200000,211739043.0,November
29,2010-12-17,2010,Yogi Bear,Adventure,Animation/Live Action,Kids Fiction,80000000,100246011,104528679,204774690.0,December
30,2010-04-09,2010,Date Night,Comedy,Live Action,Contemporary Fiction,55000000,98711404,53557629,152269033.0,April
31,2010-10-01,2010,The Social Network,Drama,Live Action,Dramatization,40000000,96962694,127959441,224922135.0,October
32,2010-05-27,2010,Sex and the City 2,Comedy,Live Action,Contemporary Fiction,95000000,95347692,199333086,294680778.0,May
33,2010-01-15,2010,The Book of Eli,Action,Live Action,Science Fiction,80000000,94835059,63915758,158750817.0,January
34,2010-12-10,2010,The Fighter,Drama,Live Action,Dramatization,11000000,93617009,35645379,129262388.0,December
35,2010-09-17,2010,The Town,Thriller/Suspense,Live Action,Contemporary Fiction,37000000,92186262,60380619,152566881.0,September
36,2010-05-28,2010,Prince of Persia: Sands of Time,Action,Live Action,Fantasy,200000000,90759676,245600000,336359676.0,May
37,2010-10-15,2010,Red,Action,Live Action,Contemporary Fiction,60000000,90380162,106059531,196439693.0,October
38,2010-02-12,2010,Percy Jackson & the Olympians: The Li…,Adventure,Live Action,Fantasy,95000000,88768303,134282571,223050874.0,February
39,2010-10-20,2010,Paranormal Activity 2,Horror,Live Action,Contemporary Fiction,3000000,84752907,92759125,177512032.0,October
40,2010-11-12,2010,Unstoppable,Action,Live Action,Dramatization,95000000,81562942,84157979,165720921.0,November
41,2010-08-13,2010,Eat Pray Love,Drama,Live Action,Contemporary Fiction,60000000,80574010,126024779,206598789.0,August
42,2010-02-05,2010,Dear John,Drama,Live Action,Contemporary Fiction,25000000,80014842,62018667,142033509.0,February
43,2010-06-11,2010,The A-Team,Action,Live Action,Contemporary Fiction,110000000,77222099,100019072,177241171.0,June
44,2010-06-23,2010,Knight and Day,Action,Live Action,Contemporary Fiction,117000000,76423035,182328335,258751370.0,June
45,2010-07-30,2010,Dinner for Schmucks,Comedy,Live Action,Contemporary Fiction,69000000,73026337,13770165,86796502.0,July
46,2010-12-10,2010,The Tourist,Thriller/Suspense,Live Action,Contemporary Fiction,100000000,67631157,211100212,278731369.0,December
47,2010-03-19,2010,The Bounty Hunter,Romantic Comedy,Live Action,Contemporary Fiction,45000000,67061228,68747609,135808837.0,March
48,2010-03-19,2010,Diary of a Wimpy Kid,Adventure,Live Action,Contemporary Fiction,15000000,64003625,12950686,76954311.0,March
49,2010-07-14,2010,The Sorcerer's Apprentice,Adventure,Animation/Live Action,Fantasy,160000000,63150991,154835329,217986320.0,July
50,2010-04-30,2010,A Nightmare on Elm Street,Horror,Live Action,Contemporary Fiction,35000000,63075011,54654610,117729621.0,April
52,2010-02-12,2010,The Wolfman,Horror,Live Action,Historical Fiction,150000000,62189884,80444474,142634358.0,February
53,2010-06-04,2010,Get Him to the Greek,Comedy,Live Action,Contemporary Fiction,40000000,61153526,31841401,92994927.0,June
54,2010-09-10,2010,Resident Evil: Afterlife,Horror,Live Action,Science Fiction,57500000,60128566,235745624,295874190.0,September
56,2010-01-22,2010,Tooth Fairy,Adventure,Live Action,Fantasy,48000000,60022256,52588130,112610386.0,January
57,2010-10-08,2010,Secretariat,Drama,Live Action,Dramatization,35000000,59699513,676734,60376247.0,October
58,2010-09-17,2010,Easy A,Comedy,Live Action,Contemporary Fiction,8000000,58401464,17799257,76200721.0,September
59,2010-08-27,2010,Takers,Thriller/Suspense,Live Action,Contemporary Fiction,32000000,57744720,12842548,70587268.0,August
60,2010-09-24,2010,Legend of the Guardians: The Owls of …,Adventure,Digital Animation,Kids Fiction,100000000,55675313,84041404,139716717.0,September
61,2010-10-08,2010,Life as We Know It,Romantic Comedy,Live Action,Contemporary Fiction,38000000,53374681,52513156,105887837.0,October
62,2010-05-14,2010,Letters to Juliet,Drama,Live Action,Contemporary Fiction,30000000,53032453,29116085,82148538.0,May
63,2010-03-19,2010,Hubble 3D,Documentary,Live Action,Factual,0,52509100,15706230,68215330.0,March
64,2010-09-24,2010,Wall Street 2: Money Never Sleeps,Drama,Live Action,Contemporary Fiction,70000000,52474616,84957003,137431619.0,September
65,2010-07-09,2010,Predators,Action,Live Action,Science Fiction,40000000,52000688,75233701,127234389.0,July
67,2010-04-16,2010,Kick-Ass,Black Comedy,Live Action,Contemporary Fiction,28000000,48071303,49459831,97531134.0,April
69,2010-10-29,2010,Saw 3D,Horror,Live Action,Contemporary Fiction,17000000,45710178,88025106,133735284.0,October
70,2010-02-26,2010,Cop Out,Comedy,Live Action,Contemporary Fiction,37000000,44875481,11034429,55909910.0,February
71,2010-07-30,2010,Cats & Dogs: The Revenge of Kitty Galore,Adventure,Live Action,Kids Fiction,85000000,43585753,69440630,113026383.0,July
72,2010-01-29,2010,Edge of Darkness,Drama,Live Action,Contemporary Fiction,60000000,43313890,39498566,82812456.0,January
73,2010-12-25,2010,Gulliver's Travels,Adventure,Animation/Live Action,Fantasy,112000000,42779261,189238587,232017848.0,December
74,2010-04-16,2010,Death at a Funeral,Comedy,Live Action,Contemporary Fiction,21000000,42739347,6237886,48977233.0,April
75,2010-08-06,2010,Step Up 3D,Drama,Live Action,Contemporary Fiction,30000000,42400223,123488894,165889117.0,August
76,2010-08-27,2010,The Last Exorcism,Horror,Live Action,Contemporary Fiction,1800000,41034350,29131550,70165900.0,August
77,2010-01-22,2010,Legion,Thriller/Suspense,Live Action,Fantasy,26000000,40168080,27479494,67647574.0,January
78,2010-11-24,2010,Burlesque,Drama,Live Action,Contemporary Fiction,55000000,39440655,51112020,90552675.0,November
79,2010-02-26,2010,The Crazies,Horror,Live Action,Contemporary Fiction,19000000,39123589,17321945,56445534.0,February
80,2010-11-05,2010,For Colored Girls,Drama,Live Action,Contemporary Fiction,21000000,37729698,288175,38017873.0,November
82,2010-08-18,2010,Vampires Suck,Comedy,Live Action,Contemporary Fiction,20000000,36661504,44763484,81424988.0,August
83,2010-09-01,2010,The American,Thriller/Suspense,Live Action,Contemporary Fiction,20000000,35606376,32344347,67950723.0,September
84,2010-03-12,2010,Green Zone,Drama,Live Action,Historical Fiction,100000000,35497337,62025683,97523020.0,March
85,2010-09-17,2010,Devil,Horror,Live Action,Fantasy,10000000,33679655,29674459,63354114.0,September
87,2010-10-15,2010,Hereafter,Thriller/Suspense,Live Action,Contemporary Fiction,50000000,32746941,75913329,108660270.0,October
88,2010-01-29,2010,When in Rome,Romantic Comedy,Live Action,Contemporary Fiction,0,32680633,11116304,43796937.0,January
89,2010-11-24,2010,Love and Other Drugs,Drama,Live Action,Contemporary Fiction,30000000,32367005,70349316,102716321.0,November
90,2010-03-12,2010,She's Out of My League,Romantic Comedy,Live Action,Contemporary Fiction,20000000,32010860,16670117,48680977.0,March
91,2010-08-13,2010,Scott Pilgrim vs. The World,Comedy,Live Action,Contemporary Fiction,85000000,31611316,16445448,48056764.0,August
92,2010-07-30,2010,Charlie St. Cloud,Drama,Live Action,Contemporary Fiction,44000000,31206263,17271821,48478084.0,July
93,2010-11-10,2010,Morning Glory,Comedy,Live Action,Contemporary Fiction,40000000,31011732,28783338,59795070.0,November
94,2010-12-17,2010,How Do You Know?,Romantic Comedy,Live Action,Contemporary Fiction,120000000,30212620,19415557,49628177.0,December
95,2010-01-08,2010,Daybreakers,Horror,Live Action,Science Fiction,20000000,30101577,21343926,51445503.0,January
96,2010-08-20,2010,Nanny McPhee and the Big Bang,Adventure,Live Action,Kids Fiction,35000000,29197642,68602223,97799865.0,August
97,2010-08-20,2010,The Switch,Romantic Comedy,Live Action,Contemporary Fiction,19000000,27758465,22100000,49858465.0,August
99,2010-09-03,2010,Machete,Action,Live Action,Contemporary Fiction,12500000,26593646,19777324,46370970.0,September
101,2011-06-29,2011,Transformers: Dark of the Moon,Action,Animation/Live Action,Science Fiction,195000000,352390543,771403536,1123794079.0,June
102,2011-11-18,2011,"The Twilight Saga: Breaking Dawn, Part 1",Drama,Live Action,Fantasy,127500000,281287133,408132918,689420051.0,November
103,2011-05-26,2011,The Hangover Part II,Comedy,Live Action,Contemporary Fiction,80000000,254464305,332000000,586464305.0,May
104,2011-05-20,2011,Pirates of the Caribbean: On Stranger…,Adventure,Live Action,Fantasy,379000000,241063875,804600000,1045663875.0,May
105,2011-04-29,2011,Fast Five,Action,Live Action,Contemporary Fiction,125000000,210031325,420132129,630163454.0,April
106,2011-12-16,2011,Mission: ImpossibleâGhost Protocol,Action,Live Action,Contemporary Fiction,145000000,209397903,485315327,694713230.0,December
107,2011-06-24,2011,Cars 2,Adventure,Digital Animation,Kids Fiction,200000000,191450875,368704508,560155383.0,June
108,2011-12-16,2011,Sherlock Holmes: A Game of Shadows,Action,Live Action,Historical Fiction,125000000,186848418,348815025,535663443.0,December
109,2011-05-06,2011,Thor,Action,Live Action,Super Hero,150000000,181030624,268295994,449326618.0,May
110,2011-08-05,2011,Rise of the Planet of the Apes,Adventure,Animation/Live Action,Science Fiction,93000000,176760185,294226015,470986200.0,August
111,2011-07-22,2011,Captain America: The First Avenger,Action,Live Action,Super Hero,140000000,176654505,193915271,370569776.0,July
112,2011-08-10,2011,The Help,Drama,Live Action,Historical Fiction,25000000,169705587,43414417,213120004.0,August
113,2011-05-13,2011,Bridesmaids,Comedy,Live Action,Contemporary Fiction,32500000,169211718,120420305,289632023.0,May
114,2011-05-26,2011,Kung Fu Panda 2,Adventure,Digital Animation,Kids Fiction,150000000,165249063,499588484,664837547.0,May
115,2011-10-28,2011,Puss in Boots,Adventure,Digital Animation,Kids Fiction,130000000,149260504,405726973,554987477.0,October
116,2011-06-03,2011,X-Men: First Class,Action,Live Action,Super Hero,160000000,146408305,209000000,355408305.0,June
117,2011-04-15,2011,Rio,Adventure,Digital Animation,Kids Fiction,90000000,143619809,343900000,487519809.0,April
118,2011-07-29,2011,The Smurfs,Adventure,Animation/Live Action,Kids Fiction,110000000,142614158,421135165,563749323.0,July
119,2011-12-16,2011,Alvin and the Chipmunks: Chipwrecked,Adventure,Animation/Live Action,Kids Fiction,80000000,133107389,215981134,349088523.0,December
120,2011-06-10,2011,Super 8,Thriller/Suspense,Live Action,Science Fiction,50000000,127004179,130968566,257972745.0,June
121,2011-03-04,2011,Rango,Adventure,Digital Animation,Kids Fiction,135000000,123477607,122246993,245724600.0,March
122,2011-07-08,2011,Horrible Bosses,Comedy,Live Action,Contemporary Fiction,35000000,117538559,94879042,212417601.0,July
123,2011-06-17,2011,Green Lantern,Action,Animation/Live Action,Super Hero,200000000,116601172,102934320,219535492.0,June
124,2011-04-01,2011,Hop,Adventure,Animation/Live Action,Kids Fiction,63000000,108085305,80572288,188657593.0,April
125,2011-10-21,2011,Paranormal Activity 3,Horror,Live Action,Contemporary Fiction,5000000,104028807,103011037,207039844.0,October
126,2011-02-11,2011,Just Go With It,Romantic Comedy,Live Action,Contemporary Fiction,80000000,103028109,111946844,214974953.0,February
127,2011-12-20,2011,The Girl with the Dragon Tattoo,Thriller/Suspense,Live Action,Contemporary Fiction,90000000,102515793,136858177,239373970.0,December
128,2011-07-29,2011,Cowboys and Aliens,Action,Live Action,Science Fiction,163000000,100368560,75669764,176038324.0,July
129,2011-06-24,2011,Bad Teacher,Comedy,Live Action,Contemporary Fiction,19000000,100292856,115156141,215448997.0,June
130,2011-02-11,2011,Gnomeo and Juliet,Comedy,Digital Animation,Fantasy,36000000,99967670,93770307,193737977.0,February
131,2011-01-14,2011,The Green Hornet,Action,Live Action,Super Hero,110000000,98780042,130375461,229155503.0,January
132,2011-11-23,2011,The Muppets,Adventure,Live Action,Kids Fiction,45000000,88625922,72346000,160971922.0,November
133,2011-10-07,2011,Real Steel,Action,Live Action,Science Fiction,110000000,85463309,178417032,263880341.0,October
134,2011-07-29,2011,"Crazy, Stupid, Love",Comedy,Live Action,Contemporary Fiction,50000000,84351197,62791131,147142328.0,July
135,2011-03-11,2011,Battle: Los Angeles,Action,Live Action,Science Fiction,70000000,83552429,129911547,213463976.0,March
136,2011-11-11,2011,Immortals,Action,Live Action,Fantasy,75000000,83504017,128058418,211562435.0,November
137,2011-11-16,2011,The Descendants,Drama,Live Action,Contemporary Fiction,20000000,82624961,92882839,175507800.0,November
138,2011-07-08,2011,Zookeeper,Romantic Comedy,Animation/Live Action,Fantasy,80000000,80360866,90444659,170805525.0,July
139,2011-12-25,2011,War Horse,Drama,Live Action,Contemporary Fiction,70000000,79883359,76932170,156815529.0,December
140,2011-03-18,2011,Limitless,Thriller/Suspense,Live Action,Science Fiction,27000000,79249455,76315464,155564919.0,March
141,2011-11-04,2011,Tower Heist,Comedy,Live Action,Contemporary Fiction,85000000,78046570,72376376,150422946.0,November
142,2011-12-21,2011,The Adventures of Tintin,Adventure,Digital Animation,Contemporary Fiction,130000000,77591831,296402120,373993951.0,December
143,2011-09-09,2011,Contagion,Thriller/Suspense,Live Action,Science Fiction,60000000,75658097,61893497,137551594.0,September
144,2011-12-23,2011,We Bought a Zoo,Drama,Live Action,Dramatization,50000000,75624550,43104523,118729073.0,December
145,2011-09-23,2011,Moneyball,Drama,Live Action,Dramatization,50000000,75605492,35695343,111300835.0,September
146,2011-11-11,2011,Jack and Jill,Comedy,Live Action,Contemporary Fiction,79000000,74158157,76361060,150519217.0,November
147,2011-11-23,2011,Hugo,Adventure,Animation/Live Action,Fantasy,180000000,73864507,106183277,180047784.0,November
148,2011-02-11,2011,Justin Bieber: Never Say Never,Concert/Performance,Live Action,Factual,13000000,73013910,26020215,99034125.0,February
149,2011-09-23,2011,Dolphin Tale,Drama,Live Action,Dramatization,37000000,72286779,23781945,96068724.0,September
150,2011-01-21,2011,No Strings Attached,Romantic Comedy,Live Action,Contemporary Fiction,25000000,70662220,78565858,149228078.0,January
151,2011-06-17,2011,Mr. Poppers's Penguins,Adventure,Live Action,Kids Fiction,55000000,68224452,121400000,189624452.0,June
152,2011-11-18,2011,Happy Feet Two,Adventure,Digital Animation,Kids Fiction,135000000,64006466,93950000,157956466.0,November
153,2011-02-18,2011,Unknown,Thriller/Suspense,Live Action,Contemporary Fiction,40000000,63686397,72436686,136123083.0,February
154,2011-03-04,2011,The Adjustment Bureau,Thriller/Suspense,Live Action,Science Fiction,50200000,62495645,64435680,126931325.0,March
155,2011-04-22,2011,Water for Elephants,Drama,Live Action,Historical Fiction,38000000,58709717,58100000,116809717.0,April
156,2011-03-18,2011,The Lincoln Lawyer,Thriller/Suspense,Live Action,Contemporary Fiction,40000000,58009200,29135886,87145086.0,March
157,2011-05-20,2011,Midnight in Paris,Romantic Comedy,Live Action,Fantasy,30000000,56816662,105462666,162279328.0,May
158,2011-07-22,2011,Friends with Benefits,Romantic Comedy,Live Action,Contemporary Fiction,35000000,55802754,90793137,146595891.0,July
159,2011-02-18,2011,I am Number Four,Adventure,Live Action,Science Fiction,50000000,55100437,91094722,146195159.0,February
160,2011-04-01,2011,Source Code,Thriller/Suspense,Live Action,Science Fiction,32000000,54712227,85716272,140428499.0,April
161,2011-12-09,2011,New Yearâs Eve,Romantic Comedy,Live Action,Contemporary Fiction,26000000,54544638,92305635,146850273.0,December
162,2011-04-01,2011,Insidious,Horror,Live Action,Contemporary Fiction,1500000,54009150,45861736,99870886.0,April
163,2011-04-22,2011,Madea's Big Happy Family,Drama,Live Action,Contemporary Fiction,25000000,53345287,815531,54160818.0,April
164,2011-03-25,2011,Diary of a Wimpy Kid: Rodrick Rules,Adventure,Live Action,Contemporary Fiction,18000000,52698535,20996659,73695194.0,March
165,2011-10-14,2011,Footloose,Musical,Live Action,Contemporary Fiction,24000000,51802742,11187092,62989834.0,October
166,2011-01-14,2011,The Dilemma,Comedy,Live Action,Contemporary Fiction,70000000,48475290,22071575,70546865.0,January
167,2011-11-23,2011,Arthur Christmas,Adventure,Digital Animation,Kids Fiction,85000000,46462469,103254655,149717124.0,November
168,2011-02-25,2011,Hall Pass,Comedy,Live Action,Contemporary Fiction,68000000,45060734,42112741,87173475.0,February
169,2011-11-25,2011,The Artist,Drama,Live Action,Historical Fiction,16000000,44667095,83589617,128256712.0,November
170,2011-04-08,2011,Soul Surfer,Drama,Live Action,Dramatization,18000000,43853424,3305228,47158652.0,April
171,2011-08-12,2011,Final Destination 5,Horror,Live Action,Fantasy,40000000,42587643,112423522,155011165.0,August
172,2011-10-07,2011,The Ides of March,Drama,Live Action,Contemporary Fiction,23000000,40962534,36773391,77735925.0,October
173,2011-04-08,2011,Hanna,Drama,Live Action,Contemporary Fiction,30000000,40259119,25084575,65343694.0,April
174,2011-05-06,2011,Something Borrowed,Romantic Comedy,Live Action,Contemporary Fiction,35000000,39046489,26037627,65084116.0,May
175,2011-08-19,2011,Spy Kids: All the Time in the World,Adventure,Live Action,Kids Fiction,27000000,38536376,42144807,80681183.0,August
176,2011-04-15,2011,Scream 4,Horror,Live Action,Contemporary Fiction,40000000,38180928,57808662,95989590.0,April
177,2011-02-18,2011,"Big Mommas: Like Father, Like Son",Comedy,Live Action,Contemporary Fiction,32000000,37915414,44417036,82332450.0,February
178,2011-03-11,2011,Red Riding Hood,Thriller/Suspense,Live Action,Fantasy,42000000,37662162,54016280,91678442.0,March
179,2011-10-28,2011,In Time,Thriller/Suspense,Live Action,Science Fiction,35000000,37553932,127550020,165103952.0,October
180,2011-03-18,2011,Paul,Comedy,Live Action,Science Fiction,40000000,37412945,63749161,101162106.0,March
181,2011-11-09,2011,J. Edgar,Drama,Live Action,Dramatization,35000000,37306030,47300000,84606030.0,November
182,2011-02-04,2011,The Roommate,Thriller/Suspense,Live Action,Contemporary Fiction,16000000,37300107,15245600,52545707.0,February
183,2011-05-06,2011,Jumping the Broom,Romantic Comedy,Live Action,Contemporary Fiction,7000000,37295394,863207,38158601.0,May
184,2011-08-05,2011,The Change-Up,Comedy,Live Action,Contemporary Fiction,52000000,37243418,38753649,75997067.0,August
185,2011-08-12,2011,30 Minutes or Less,Comedy,Live Action,Contemporary Fiction,28000000,37053924,3912792,40966716.0,August
186,2011-08-26,2011,Colombiana,Thriller/Suspense,Live Action,Contemporary Fiction,40000000,36665854,35629408,72295262.0,August
187,2011-03-25,2011,Sucker Punch,Action,Live Action,Fantasy,75000000,36392502,53365887,89758389.0,March
188,2011-07-01,2011,Larry Crowne,Romantic Comedy,Live Action,Contemporary Fiction,30000000,35608245,25840890,61449135.0,July
189,2011-11-04,2011,A Very Harold & Kumar 3D Christmas,Comedy,Live Action,Fantasy,20000000,35061031,1204714,36265745.0,November
190,2011-09-16,2011,Drive,Action,Live Action,Contemporary Fiction,15000000,35060689,46297241,81357930.0,September
191,2011-09-30,2011,50/50,Black Comedy,Live Action,Contemporary Fiction,8000000,35016118,6318617,41334735.0,September
192,2011-09-30,2011,Courageous,Drama,Live Action,Contemporary Fiction,2000000,34522221,663663,35185884.0,September
193,2011-01-28,2011,The Rite,Horror,Live Action,Dramatization,37000000,33047633,64096354,97143987.0,January
194,2011-04-08,2011,Arthur,Comedy,Live Action,Contemporary Fiction,40000000,33035397,14752546,47787943.0,April
195,2011-12-25,2011,Extremely Loud and Incredibly Close,Drama,Live Action,Historical Fiction,40000000,31847881,23400000,55247881.0,December
196,2011-08-31,2011,The Debt,Thriller/Suspense,Live Action,Historical Fiction,20000000,31177548,15426506,46604054.0,August
197,2011-12-09,2011,The Sitter,Comedy,Live Action,Contemporary Fiction,25000000,30542576,8206828,38749404.0,December
198,2011-05-13,2011,Priest,Horror,Live Action,Fantasy,60000000,29136626,55017400,84154026.0,May
199,2011-01-28,2011,The Mechanic,Action,Live Action,Contemporary Fiction,42500000,29121498,47225895,76347393.0,January
200,2012-05-04,2012,The Avengers,Action,Animation/Live Action,Super Hero,225000000,623357910,891742301,1515100211.0,May
201,2012-07-20,2012,The Dark Knight Rises,Action,Live Action,Super Hero,230000000,448139099,634089008,1082228107.0,July
202,2012-03-23,2012,The Hunger Games,Thriller/Suspense,Live Action,Science Fiction,80000000,408010692,269912687,677923379.0,March
203,2012-11-08,2012,Skyfall,Action,Live Action,Contemporary Fiction,200000000,304360277,806166704,1110526981.0,November
204,2012-12-14,2012,The Hobbit: An Unexpected Journey,Adventure,Animation/Live Action,Fantasy,200000000,303003568,714000000,1017003568.0,December
205,2012-11-16,2012,"The Twilight Saga: Breaking Dawn, Part 2",Drama,Live Action,Fantasy,136200000,292324737,537400000,829724737.0,November
206,2012-07-03,2012,The Amazing Spider-Man,Adventure,Live Action,Super Hero,220000000,262030663,495859604,757890267.0,July
207,2012-06-22,2012,Brave,Adventure,Digital Animation,Kids Fiction,185000000,237282182,317324350,554606532.0,June
208,2012-06-29,2012,Ted,Comedy,Animation/Live Action,Contemporary Fiction,50000000,218665740,337350887,556016627.0,June
209,2012-06-08,2012,Madagascar 3: Europe's Most Wanted,Adventure,Digital Animation,Kids Fiction,145000000,216391482,530529789,746921271.0,June
210,2012-03-02,2012,Doctor Seuss' The Lorax,Adventure,Digital Animation,Kids Fiction,67500000,214030500,136946253,350976753.0,March
211,2012-11-02,2012,Wreck-It Ralph,Adventure,Digital Animation,Kids Fiction,165000000,189412677,307098844,496511521.0,November
212,2012-11-09,2012,Lincoln,Drama,Live Action,Dramatization,65000000,182207973,91138308,273346281.0,November
213,2012-05-25,2012,Men in Black 3,Adventure,Animation/Live Action,Science Fiction,215000000,179020854,475192631,654213485.0,May
214,2012-12-25,2012,Django Unchained,Western,Live Action,Historical Fiction,100000000,162805434,287036132,449841566.0,December
215,2012-07-13,2012,Ice Age: Continental Drift,Adventure,Digital Animation,Fantasy,95000000,161321843,718443294,879765137.0,July
216,2012-06-01,2012,Snow White and the Huntsman,Adventure,Live Action,Fantasy,170000000,155136755,245884991,401021746.0,June
217,2012-12-25,2012,Les MisÃ©rables,Musical,Live Action,Historical Fiction,65000000,148809770,289610672,438420442.0,December
218,2012-09-28,2012,Hotel Transylvania,Adventure,Digital Animation,Kids Fiction,85000000,148313048,230192764,378505812.0,September
219,2012-10-05,2012,Taken 2,Thriller/Suspense,Live Action,Contemporary Fiction,45000000,139854287,237953117,377807404.0,October
220,2012-03-16,2012,21 Jump Street,Comedy,Live Action,Contemporary Fiction,42000000,138447667,64364762,202812429.0,March
221,2012-10-12,2012,Argo,Thriller/Suspense,Live Action,Historical Fiction,44500000,136025503,91115254,227140757.0,October
222,2012-11-16,2012,Silver Linings Playbook,Drama,Live Action,Contemporary Fiction,21000000,132092958,104319495,236412453.0,November
223,2012-06-08,2012,Prometheus,Thriller/Suspense,Live Action,Science Fiction,125000000,126477084,275971181,402448265.0,June
224,2012-02-10,2012,Safe House,Thriller/Suspense,Live Action,Contemporary Fiction,85000000,126181630,82360532,208542162.0,February
225,2012-02-10,2012,The Vow,Drama,Live Action,Historical Fiction,30000000,125014030,72604130,197618160.0,February
226,2012-11-21,2012,Life of Pi,Drama,Live Action,Historical Fiction,120000000,124987022,494323346,619310368.0,November
227,2012-06-29,2012,Magic Mike,Comedy,Live Action,Contemporary Fiction,7000000,113721571,56828182,170549753.0,June
228,2012-08-10,2012,The Bourne Legacy,Thriller/Suspense,Live Action,Contemporary Fiction,125000000,113203870,167152050,280355920.0,August
229,2012-02-10,2012,Journey 2: The Mysterious Island,Adventure,Live Action,Fantasy,79000000,103860290,214285872,318146162.0,February
230,2012-11-21,2012,Rise of the Guardians,Adventure,Digital Animation,Kids Fiction,145000000,103412758,203488144,306900902.0,November
231,2012-12-19,2012,Zero Dark Thirty,Thriller/Suspense,Live Action,Dramatization,52500000,95720716,38891719,134612435.0,December
232,2012-11-02,2012,Flight,Drama,Live Action,Contemporary Fiction,31000000,93772375,66786063,160558438.0,November
233,2012-04-20,2012,Think Like a Man,Romantic Comedy,Live Action,Contemporary Fiction,12000000,91547205,21826559,113373764.0,April
234,2012-08-10,2012,The Campaign,Comedy,Live Action,Contemporary Fiction,95000000,86907746,18000000,104907746.0,August
235,2012-08-17,2012,The Expendables 2,Action,Live Action,Contemporary Fiction,100000000,85028192,226951064,311979256.0,August
236,2012-03-30,2012,Wrath of the Titans,Adventure,Animation/Live Action,Fantasy,150000000,83670083,221600000,305270083.0,March
237,2012-12-21,2012,Jack Reacher,Thriller/Suspense,Live Action,Contemporary Fiction,60000000,80070736,137300000,217370736.0,December
238,2012-05-11,2012,Dark Shadows,Black Comedy,Live Action,Fantasy,150000000,79727149,158475519,238202668.0,May
239,2012-12-25,2012,Parental Guidance,Adventure,Live Action,Contemporary Fiction,25000000,77267296,43565087,120832383.0,December
240,2012-03-09,2012,John Carter,Adventure,Live Action,Science Fiction,263700000,73058679,209719421,282778100.0,March
241,2012-02-24,2012,Act of Valor,Action,Live Action,Contemporary Fiction,12000000,70012847,12484188,82497035.0,February
242,2012-12-21,2012,This is 40,Comedy,Live Action,Contemporary Fiction,35000000,67544505,22676677,90221182.0,December
