,release_date,release_year,title,genre,prod_method,dom_gross,int_gross,world_gross,release_month,release_season
539,"Jan 31, 2020",2020,The Assistant,Drama,Live Action,1100310,234194,1334504,January,Winter
540,"Jul 3, 2020",2020,Relic,Thriller/Suspense,Live Action,1047083,390412,1437495,July,Summer
541,"Jun 5, 2020",2020,Becky,Thriller/Suspense,Live Action,1002852,55759,1058611,June,Spring
542,"Aug 7, 2020",2020,The Tax Collector,Action,Live Action,942666,0,942666,August,Summer
543,"Jan 11, 2020",2020,Met Opera: Wozzeck,Concert/Performance,Live Action,863000,166603,1029603,January,Winter
544,"Jul 31, 2020",2020,Cut Throat City,Drama,Live Action,782379,4052,786431,July,Summer
545,"Jan 24, 2020",2020,Color Out of Space,Horror,Live Action,765561,285995,1051556,January,Winter
546,"Jun 19, 2020",2020,Followed,Horror,Live Action,538179,0,538179,June,Spring
547,"Jul 24, 2020",2020,The Big Ugly,Action,Live Action,514107,1292,515399,July,Summer
548,"Feb 21, 2020",2020,CatVideoFest,Documentary,Live Action,478775,35370,514145,February,Winter
549,"Feb 21, 2020",2020,Once Were Brothers: Robbie Robertson …,Documentary,Live Action,449561,105985,555546,February,Winter
550,"Feb 21, 2020",2020,Seberg,Thriller/Suspense,Live Action,448009,332391,780400,February,Winter
551,"Jun 12, 2020",2020,Infamous,Action,Live Action,429148,0,429148,June,Spring
552,"Aug 21, 2020",2020,Tulsa,Comedy,Live Action,292376,0,292376,August,Summer
553,"Jan 31, 2020",2020,Created Equal: Clarence Thomas in His…,Documentary,Live Action,282149,0,282149,January,Winter
554,"Sep 16, 2020",2020,The Secrets We Keep,Thriller/Suspense,Live Action,253337,11104,264441,September,Summer
555,"Sep 25, 2020",2020,The Last Shift,Comedy,Live Action,235000,0,235000,September,Summer
556,"Sep 25, 2020",2020,Kajillionaire,Drama,Live Action,215675,0,215675,September,Summer
557,"Feb 12, 2020",2020,The Doors: Break on Thru â A Celebr…,Documentary,Live Action,186920,0,186920,February,Winter
558,"Sep 18, 2020",2020,Alone,Thriller/Suspense,Live Action,182473,27025,209498,September,Summer
559,"Mar 6, 2020",2020,The Burnt Orange Heresy,Thriller/Suspense,Live Action,144201,358190,502391,March,Winter
560,"Feb 28, 2020",2020,Wendy,Drama,Live Action,143518,1776,145294,February,Winter
561,"Jul 10, 2020",2020,Archive,,Live Action,139593,87741,227334,July,Summer
562,"Feb 28, 2020",2020,Burden,Drama,Live Action,139270,300609,439879,February,Winter
563,"Mar 6, 2020",2020,Beneath Us,Horror,Live Action,137260,0,137260,March,Winter
564,"Feb 14, 2020",2020,The Times of Bill Cunningham,Documentary,Live Action,134288,0,134288,February,Winter
565,"Sep 18, 2020",2020,Follow Me,Horror,Live Action,128512,2313693,2442205,September,Summer
566,"Feb 28, 2020",2020,Saint Frances,Multiple Genres,Live Action,127275,14923,142198,February,Winter
567,"Mar 6, 2020",2020,Hope Gap,Drama,Live Action,104732,436550,541282,March,Winter
568,"Mar 6, 2020",2020,First Cow,Drama,Live Action,101068,0,101068,March,Winter
569,"Aug 14, 2020",2020,The Silencing,Thriller/Suspense,Live Action,100746,0,100746,August,Summer
570,"Aug 21, 2020",2020,Tesla,Drama,Live Action,91169,103891,195060,August,Summer
571,"Feb 14, 2020",2020,First Lady,Romantic Comedy,Live Action,89885,0,89885,February,Winter
572,"Apr 10, 2020",2020,We Summon the Darkness,Horror,Live Action,60794,85645,146439,April,Spring
573,"Sep 3, 2020",2020,My Brothersâ Crossing,Drama,Live Action,54429,0,54429,September,Summer
574,"Feb 14, 2020",2020,A Simple Wedding,Romantic Comedy,Live Action,54415,0,54415,February,Winter
575,"Jan 12, 2020",2020,VHYes,Comedy,Live Action,47037,0,47037,January,Winter
576,"Sep 18, 2020",2020,The Way I See it,Documentary,Live Action,44515,0,44515,September,Summer
577,"Jan 10, 2020",2020,Three Christs,Drama,Live Action,37788,0,37788,January,Winter
578,"Apr 17, 2020",2020,Other Music,Documentary,Live Action,37191,0,37191,April,Spring
579,"Aug 7, 2020",2020,Juvenile Delinquents,Drama,Live Action,34292,2640,36932,August,Summer
580,"Mar 6, 2020",2020,Swallow,Thriller/Suspense,Live Action,33419,242946,276365,March,Winter
581,"May 29, 2020",2020,Max Winslow and the House of Secrets,Thriller/Suspense,Live Action,31252,0,31252,May,Spring
582,"Feb 12, 2020",2020,After Parkland,Documentary,Live Action,30444,0,30444,February,Winter
583,"Sep 11, 2020",2020,Rent-A-Pal,Horror,Live Action,29615,0,29615,September,Summer
584,"Feb 14, 2020",2020,Olympic Dreams,Romantic Comedy,Live Action,29450,0,29450,February,Winter
585,"Feb 21, 2020",2020,Tread,Documentary,Live Action,29136,0,29136,February,Winter
586,"Feb 14, 2020",2020,Buffaloed,Comedy,Live Action,29118,0,29118,February,Winter
587,"Feb 7, 2020",2020,Cane River,Drama,Live Action,27317,0,27317,February,Winter
588,"Jan 31, 2020",2020,JosÃ©,Drama,Live Action,26563,0,26563,January,Winter
589,"Mar 6, 2020",2020,The Booksellers,Documentary,Live Action,25694,134785,160479,March,Winter
590,"Feb 21, 2020",2020,Premature,Drama,Live Action,23071,0,23071,February,Winter
591,"Aug 14, 2020",2020,Spree,Black Comedy,Live Action,20480,14315,34795,August,Summer
592,"Jan 17, 2020",2020,Lore,Thriller/Suspense,Live Action,20006,0,20006,January,Winter
593,"Jun 19, 2020",2020,Quarantine Cat Film Fest,Documentary,Live Action,20000,0,20000,June,Spring
594,"Sep 18, 2020",2020,Foster Boy,Drama,Live Action,19046,0,19046,September,Summer
595,"Feb 28, 2020",2020,The Jesus Rolls,Comedy,Live Action,18169,46400,64569,February,Winter
596,"Mar 13, 2020",2020,"Never, Rarely, Sometimes, Always",Drama,Live Action,16565,142682,159247,March,Winter
597,"Aug 28, 2020",2020,Centigrade,Thriller/Suspense,Live Action,16263,0,16263,August,Summer
598,"Apr 24, 2020",2020,Pahokee,Documentary,Live Action,13250,0,13250,April,Spring
599,"Jul 31, 2020",2020,Killer Raccoons 2: Dark Christmas in …,Comedy,Live Action,12382,0,12382,July,Summer
