,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
1114,Sparkle,2012,10000000,24397469,262854,Historical Fiction,Live Action,Drama
1115,Mud,2012,10000000,21590086,9966873,Contemporary Fiction,Live Action,Drama
1116,Le prénom,2012,11000000,61611,25245794,Contemporary Fiction,Live Action,
1117,Inside Llewyn Davis,2012,11000000,13248209,19695038,Historical Fiction,Live Action,Drama
1118,Peeples,2012,11000000,9177065,130101,Contemporary Fiction,Live Action,Romantic Comedy
1119,Think Like a Man,2012,12000000,91547205,21826559,Contemporary Fiction,Live Action,Romantic Comedy
1120,Katy Perry: Part of Me,2012,12000000,25326071,7374368,Factual,Live Action,Concert/Performance
1121,Ernest et Celestine,2012,12500000,292562,9083882,Kids Fiction,Hand Animation,Adventure
1122,The Paperboy,2012,12500000,677200,2844953,Historical Fiction,Live Action,Thriller/Suspense
1123,Admission,2012,13000000,18007317,726349,Contemporary Fiction,Live Action,Romantic Comedy
1124,Seven Psychopaths,2012,13500000,15024049,18011687,Contemporary Fiction,Live Action,Comedy
1125,Fun Size ,2012,14000000,9409538,1757077,Contemporary Fiction,Live Action,Comedy
1126,Mama,2012,15000000,71628180,76467386,Fantasy,Live Action,Horror
1127,End of Watch,2012,15000000,41003371,16583235,Contemporary Fiction,Live Action,Thriller/Suspense
1128,Killing Them Softly,2012,15000000,14945541,24292902,Contemporary Fiction,Live Action,Thriller/Suspense
1129,Snitch,2012,15000000,42930462,14977272,Contemporary Fiction,Live Action,Thriller/Suspense
1130,The Place Beyond the Pines,2012,15000000,21403519,25607930,Contemporary Fiction,Live Action,Drama
1131,The Reluctant Fundamentalist,2012,15000000,528731,0,Contemporary Fiction,Live Action,Drama
1132,Trance,2012,16000000,2322593,20271459,Contemporary Fiction,Live Action,Thriller/Suspense
1133,Pitch Perfect,2012,17000000,65001093,51043254,Contemporary Fiction,Live Action,Comedy
1134,Evil Dead,2012,17000000,54239856,43538500,Fantasy,Live Action,Horror
1135,Phantom,2012,18000000,1034589,164921,Historical Fiction,Live Action,Thriller/Suspense
1136,De rouille et d’os,2012,19500000,2061449,27332185,Contemporary Fiction,Live Action,Drama
1137,Silent Hill: Revelation 3D,2012,20000000,17530219,38445453,Fantasy,Live Action,Horror
1138,Chasing Mavericks,2012,20000000,6002756,2298065,Dramatization,Live Action,Drama
1139,Texas Chainsaw 3D,2012,20000000,34341945,13324068,Contemporary Fiction,Live Action,Horror
1140,Zambezia,2012,20000000,0,34454336,Kids Fiction,Digital Animation,Adventure
1141,Tyler Perry's Madea's Witness Protection,2012,20000000,65653242,1297645,Contemporary Fiction,Live Action,Comedy
1142,Silver Linings Playbook,2012,21000000,132092958,104319495,Contemporary Fiction,Live Action,Drama
1143,To Rome with Love,2012,21500000,16684352,57641663,Contemporary Fiction,Live Action,Romantic Comedy
1144,Diary of a Wimpy Kid: Dog Days,2012,22000000,49008662,28221033,Kids Fiction,Live Action,Adventure
1145,Hit & Run,2012,22000000,13749300,3467655,Contemporary Fiction,Live Action,Comedy
1146,Dangerous Liaisons,2012,24200000,17000,10430579,Historical Fiction,Live Action,Drama
1147,Parental Guidance,2012,25000000,77267296,43565087,Contemporary Fiction,Live Action,Adventure
1148,Cirque du Soleil: Worlds Away,2012,25000000,12512862,15500000,Fantasy,Live Action,Drama
1149,Pain & Gain,2012,26000000,49875291,31400000,Contemporary Fiction,Live Action,Action
1150,Side Effects,2012,30000000,32172757,34569381,Science Fiction,Live Action,Thriller/Suspense
1151,The Last Stand,2012,30000000,12050299,36280458,Contemporary Fiction,Live Action,Action
1152,Warm Bodies,2012,30000000,66380662,48740946,Fantasy,Live Action,Romantic Comedy
1153,Dead Man Down,2012,30000000,10895295,8704679,Contemporary Fiction,Live Action,Thriller/Suspense
1154,42,2012,31000000,95020213,2450488,Dramatization,Live Action,Drama
1155,Flight,2012,31000000,93772375,66786063,Contemporary Fiction,Live Action,Drama
1156,The Incredible Burt Wonderstone,2012,32000000,22537881,4854728,Contemporary Fiction,Live Action,Comedy
1157,Broken City,2012,35000000,19701164,14778881,Contemporary Fiction,Live Action,Thriller/Suspense
1158,Alex Cross,2012,35000000,25888412,9538347,Contemporary Fiction,Live Action,Thriller/Suspense
1159,Stolen,2012,35000000,289773,17677973,Contemporary Fiction,Live Action,Action
1160,What to Expect When You're Expecting,2012,37500000,41152203,47320813,Contemporary Fiction,Live Action,Romantic Comedy
1161,The Master,2012,37500000,16247159,34400257,Historical Fiction,Live Action,Drama
1162,Paranoia,2012,40000000,7388654,8952113,Contemporary Fiction,Live Action,Thriller/Suspense
1163,Escape From Planet Earth,2012,40000000,57012977,17143633,Kids Fiction,Digital Animation,Adventure
1164,Argo,2012,44500000,136025503,91115254,Historical Fiction,Live Action,Thriller/Suspense
1165,Savages,2012,45000000,47323100,35190390,Contemporary Fiction,Live Action,Thriller/Suspense
1166,Foodfight!,2012,45000000,0,73706,Kids Fiction,Digital Animation,Adventure
1167,Anna Karenina,2012,49000000,12816367,58188260,Historical Fiction,Live Action,Drama
1168,The Host,2012,50000000,26623701,37853350,Science Fiction,Live Action,Thriller/Suspense
1169,American Reunion,2012,50000000,56758835,180040376,Contemporary Fiction,Live Action,Comedy
1170,Beautiful Creatures,2012,50000000,19452138,40830738,Fantasy,Live Action,Thriller/Suspense
1171,Zero Dark Thirty,2012,52500000,95720716,38891719,Dramatization,Live Action,Drama
1172,Trouble with the Curve,2012,60000000,35763137,12055776,Contemporary Fiction,Live Action,Drama
1173,Jack Reacher,2012,60000000,80070736,137300000,Contemporary Fiction,Live Action,Drama
1174,2 Guns,2012,61000000,75612460,56880555,Contemporary Fiction,Live Action,Action
1175,"I, Frankenstein",2012,65000000,19075290,55500000,Fantasy,Live Action,Action
1176,Les Miserables,2012,65000000,148809770,293359282,Historical Fiction,Live Action,Musical
1177,Resident Evil: Retribution,2012,65000000,42345531,198302098,Science Fiction,Live Action,Action
1178,Escape Plan,2012,70000000,25135965,78600000,Contemporary Fiction,Live Action,Thriller/Suspense
1179,Astérix et Obélix: Au service de Sa Majesté ,2012,77600000,0,60680125,Fantasy,Live Action,Adventure
1180,Walking with Dinosaurs,2012,80000000,36076121,87292721,Kids Fiction,Animation/Live Action,Adventure
1181,Grown Ups 2,2012,80000000,133668525,113355283,Contemporary Fiction,Live Action,Comedy
1182,Pompeii,2012,80000000,23169033,85300000,Historical Fiction,Live Action,Drama
1183,The Secret Life of Walter Mitty,2012,91000000,58236838,129624345,Contemporary Fiction,Live Action,Adventure
1184,A Good Day to Die Hard,2012,92000000,67349198,236900000,Contemporary Fiction,Live Action,Action
1185,Ice Age: Continental Drift,2012,95000000,161321843,718443294,Fantasy,Digital Animation,Adventure
1186,The Expendables 2,2012,100000000,85028192,226951064,Contemporary Fiction,Live Action,Action
1187,Ender's Game,2012,110000000,61737191,66246092,Science Fiction,Live Action,Adventure
1188,Gravity,2012,110000000,274092705,419605968,Contemporary Fiction,Live Action,Thriller/Suspense
1189,Oblivion,2012,120000000,89107235,198809398,Science Fiction,Live Action,Thriller/Suspense
1190,Elysium,2012,120000000,93050117,193141974,Science Fiction,Live Action,Action
1191,Total Recall,2012,125000000,58877969,152978119,Science Fiction,Live Action,Action
1192,After Earth,2012,130000000,60522097,190977568,Science Fiction,Live Action,Action
1193,"The Twilight Saga: Breaking Dawn, Part 2",2012,136200000,292324737,537400000,Fantasy,Live Action,Drama
1194,G.I. Joe: Retaliation,2012,140000000,122523060,253217645,Contemporary Fiction,Animation/Live Action,Action
1195,Madagascar 3: Europe's Most Wanted,2012,145000000,216391482,530529789,Kids Fiction,Digital Animation,Adventure
1196,Rise of the Guardians,2012,145000000,103412758,203488144,Kids Fiction,Digital Animation,Adventure
1197,Wrath of the Titans,2012,150000000,83670083,221600000,Fantasy,Animation/Live Action,Adventure
1198,Fast and Furious 6,2012,160000000,238679850,550620594,Contemporary Fiction,Live Action,Action
1199,Wreck-It Ralph,2012,165000000,189412677,307098844,Kids Fiction,Digital Animation,Adventure
1200,Brave,2012,185000000,237282182,317324350,Kids Fiction,Digital Animation,Adventure
1201,The Great Gatsby,2012,190000000,144840419,206200000,Historical Fiction,Live Action,Drama
1202,Star Trek Into Darkness,2012,190000000,228778661,238602923,Science Fiction,Live Action,Adventure
1203,Skyfall,2012,200000000,304360277,806166704,Contemporary Fiction,Live Action,Action
1204,Monsters University,2012,200000000,268488329,475100000,Kids Fiction,Digital Animation,Adventure
1205,Iron Man 3,2012,200000000,408992272,806400000,Super Hero,Animation/Live Action,Action
1206,Man of Steel,2012,225000000,291045518,376954000,Super Hero,Live Action,Action
1207,The Hobbit: An Unexpected Journey,2012,250000000,303003568,714000000,Fantasy,Animation/Live Action,Adventure
1208,The Dark Knight Rises,2012,275000000,448139099,636300000,Super Hero,Live Action,Action
1209,50 to 1,2013,10000000,1069454,0,Dramatization,Live Action,Drama
1210,Parkland,2013,10000000,641439,974914,Historical Fiction,Live Action,Drama
1211,Hross i oss,2013,10000000,11894,0,Contemporary Fiction,Live Action,Comedy
1212,One Direction: This is Us,2013,10000000,28873374,39668412,Factual,Live Action,Concert/Performance
1213,"Cinco de Mayo, La Batalla",2013,10000000,173472,0,Dramatization,Live Action,Action
1214,Paranormal Activity: The Ghost Dimension,2013,10000000,18297124,59662250,Contemporary Fiction,Live Action,Horror
1215,Bad Words,2013,10000000,7779614,63531,Contemporary Fiction,Live Action,Comedy
1216,The Last Days on Mars,2013,10600000,24084,237280,Science Fiction,Live Action,Thriller/Suspense
1217,Philomena,2013,12000000,37709979,61253413,Contemporary Fiction,Live Action,Drama
1218,La grande bellezza,2013,12000000,2883879,26665266,Contemporary Fiction,Live Action,Drama
1219,Nebraska,2013,12000000,17654912,7106448,Contemporary Fiction,Live Action,Drama
1220,About Time,2013,12000000,15323921,73985257,Science Fiction,Live Action,Romantic Comedy
1221,Heaven is for Real,2013,12000000,91386097,9530202,Dramatization,Live Action,Drama
1222,Project Almanac,2013,12000000,22348241,10561196,Science Fiction,Live Action,Adventure
1223,The Call,2013,12800000,51872378,17949098,Contemporary Fiction,Live Action,Thriller/Suspense
1224,21 and Over,2013,13000000,25682380,16513386,Contemporary Fiction,Live Action,Comedy
1225,Earth to Echo,2013,13000000,38934842,3239703,Kids Fiction,Animation/Live Action,Adventure
1226,No Good Deed,2013,13200000,52543632,1779578,Contemporary Fiction,Live Action,Thriller/Suspense
1227,Under the Skin,2013,13300000,2614251,4615682,Science Fiction,Live Action,Thriller/Suspense
1228,Hot Tub Time Machine 2,2013,14000000,12314651,511993,Science Fiction,Live Action,Comedy
1229,Broken Horses,2013,15000000,0,3471,Contemporary Fiction,Live Action,Action
1230,Jackass Presents: Bad Grandpa,2013,15000000,102003019,58900000,Factual,Live Action,Comedy
1231,Khumba,2013,15000000,0,20898221,Kids Fiction,Digital Animation,Adventure
1232,The Immigrant,2013,16000000,2013456,5571555,Historical Fiction,Live Action,Drama
1233,Zulu,2013,16000000,0,1844228,Contemporary Fiction,Live Action,Thriller/Suspense
1234,The Best Man Holiday,2013,17000000,70525195,2310515,Contemporary Fiction,Live Action,Comedy
1235,Black Nativity,2013,17500000,7018188,266947,Fantasy,Live Action,Musical
1236,Blue Jasmine,2013,18000000,33404871,69508090,Contemporary Fiction,Live Action,Comedy
1237,Metallica Through the Never,2013,18000000,3419967,5662939,Factual,Live Action,Concert/Performance
1238,The Railway Man,2013,18000000,4438438,19471772,Dramatization,Live Action,Drama
1239,Jobs,2013,18000000,16131410,27271105,Dramatization,Live Action,Drama
1240,Neighbors,2013,18000000,150086800,120857628,Contemporary Fiction,Live Action,Comedy
1241,Getaway,2013,18000000,10501938,1312051,Contemporary Fiction,Live Action,Thriller/Suspense
1242,The Book Thief,2013,19000000,21488481,54598230,Historical Fiction,Live Action,Drama
1243,The Frozen Ground,2013,19200000,0,5617460,Contemporary Fiction,Live Action,Thriller/Suspense
1244,The World's End,2013,20000000,26004851,21503654,Science Fiction,Live Action,Comedy
1245,The Conjuring,2013,20000000,137400141,180600000,Fantasy,Live Action,Horror
1246,12 Years a Slave,2013,20000000,56671993,124353350,Historical Fiction,Live Action,Drama
1247,Machete Kills,2013,20000000,8008161,10264848,Contemporary Fiction,Live Action,Action
1248,This is Where I Leave You,2013,20000000,34296320,7000000,Contemporary Fiction,Live Action,Comedy
1249,Battle of the Year,2013,20000000,8888355,7835022,Contemporary Fiction,Live Action,Drama
1250,Metegol,2013,22000000,0,34061097,Kids Fiction,Digital Animation,Adventure
1251,Delivery Man,2013,22000000,30659817,39877053,Contemporary Fiction,Live Action,Comedy
1252,Before I Go to Sleep,2013,22000000,3242457,16321122,Contemporary Fiction,Live Action,Thriller/Suspense
1253,Homefront,2013,22000000,20158492,31536870,Contemporary Fiction,Live Action,Action
1254,Son of God,2013,22000000,59700064,11249729,Dramatization,Live Action,Drama
1255,Out of the Furnace,2013,22000000,11330849,4103526,Contemporary Fiction,Live Action,Drama
1256,Her,2013,23000000,25568251,22690780,Science Fiction,Live Action,Drama
1257,Redemption,2013,23000000,36686,13556787,Contemporary Fiction,Live Action,Thriller/Suspense
1258,Dhoom 3,2013,24000000,8031955,3691665,,,Action
1259,Million Dollar Arm,2013,25000000,36447959,2769953,Contemporary Fiction,Live Action,Drama
1260,The Counselor,2013,25000000,16973715,54035619,Contemporary Fiction,Live Action,Thriller/Suspense
1261,Tyler Perry's A Madea Christmas,2013,25000000,52543354,0,Contemporary Fiction,Live Action,Comedy
1262,The Fifth Estate,2013,26000000,3254172,2900000,Dramatization,Live Action,Drama
1263,Blood Ties,2013,26000000,42472,2881487,Contemporary Fiction,Live Action,Drama
1264,3 Days to Kill,2013,28000000,30697999,8261901,Contemporary Fiction,Live Action,Thriller/Suspense
1265,Last Vegas,2013,28000000,63914167,49000000,Contemporary Fiction,Live Action,Comedy
1266,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2013,28000000,66954149,34425138,Kids Fiction,Live Action,Adventure
1267,A Walk Among the Tombstones,2013,28000000,26017685,36090902,Historical Fiction,Live Action,Action
1268,Kick-Ass 2,2013,28000000,28795985,34333924,Contemporary Fiction,Live Action,Action
1269,The Family,2013,30000000,36918811,14159730,Contemporary Fiction,Live Action,Black Comedy
1270,Space Pirate Captain Harlock,2013,30000000,0,310985,Science Fiction,Digital Animation,Adventure
1271,Grace of Monaco,2013,30000000,0,25199891,Dramatization,Live Action,Drama
1272,Runner Runner,2013,30000000,19316646,41196034,Contemporary Fiction,Live Action,Thriller/Suspense
1273,Carrie,2013,30000000,35266619,47142901,Fantasy,Live Action,Horror
1274,The Nut Job,2013,30000000,64251538,58278428,Kids Fiction,Digital Animation,Adventure
1275,The Grand Budapest Hotel,2013,31000000,59076019,104905242,Historical Fiction,Live Action,Comedy
1276,This is the End,2013,32000000,101470202,25068915,Science Fiction,Live Action,Comedy
1277,The Young and Prodigious T.S. Spivet,2013,33000000,176847,180840,Contemporary Fiction,Live Action,Adventure
1278,Identity Thief,2013,35000000,134506920,40854658,Contemporary Fiction,Live Action,Comedy
1279,Saving Mr. Banks,2013,35000000,83299761,31662764,Dramatization,Live Action,Drama
1280,Mandela: Long Walk to Freedom,2013,35000000,8323085,21567317,Dramatization,Live Action,Drama
1281,We're the Millers,2013,37000000,150394119,117422157,Contemporary Fiction,Live Action,Comedy
1282,Rush,2013,38000000,26947624,71283215,Dramatization,Live Action,Drama
1283,Yi dai zong shi,2013,38600000,6594959,51392340,Dramatization,Live Action,Action
1284,Lone Survivor,2013,40000000,125095601,24709031,Dramatization,Live Action,Action
1285,Grudge Match,2013,40000000,29807260,40000000,Contemporary Fiction,Live Action,Comedy
1286,Snowpiercer,2013,40000000,4563029,83506851,Science Fiction,Live Action,Thriller/Suspense
1287,Fifty Shades of Grey,2013,40000000,166167230,404830871,Contemporary Fiction,Live Action,Drama
1288,American Hustle,2013,40000000,150117807,107760487,Dramatization,Live Action,Black Comedy
1289,The Heat,2013,43000000,159581587,70146187,Contemporary Fiction,Live Action,Comedy
1290,Prisoners,2013,46000000,61002302,52400000,Contemporary Fiction,Live Action,Thriller/Suspense
1291,Disney Planes,2013,50000000,90282580,147776989,Kids Fiction,Digital Animation,Adventure
1292,Non-Stop,2013,50000000,91742160,130640895,Contemporary Fiction,Live Action,Action
1293,Captain Phillips,2013,55000000,107136417,113511767,Dramatization,Live Action,Drama
1294,Free Birds,2013,55000000,55750480,54636592,Kids Fiction,Digital Animation,Adventure
1295,Muppets Most Wanted,2013,55000000,51178893,28133408,Kids Fiction,Live Action,Adventure
1296,The Internship,2013,58000000,44672764,49000000,Contemporary Fiction,Live Action,Comedy
1297,Jack Ryan: Shadow Recruit,2013,60000000,50577412,80800000,Contemporary Fiction,Live Action,Action
1298,Winter's Tale,2013,60000000,12600231,9868389,Fantasy,Live Action,Drama
1299,The Lego Movie,2013,60000000,257784718,199944670,Kids Fiction,Digital Animation,Adventure
1300,The Mortal Instruments: City of Bones,2013,60000000,31165421,44800146,Fantasy,Live Action,Adventure
1301,Olympus Has Fallen,2013,70000000,98927592,51634572,Contemporary Fiction,Live Action,Thriller/Suspense
1302,The Monuments Men,2013,70000000,78031620,80671128,Historical Fiction,Live Action,Drama
1303,Legends of Oz: Dorothy’s Return,2013,70000000,8462347,11645586,Kids Fiction,Digital Animation,Adventure
1304,The Legend of Hercules,2013,70000000,18848538,40104781,Fantasy,Live Action,Adventure
1305,Now You See Me,2013,75000000,117723989,225045211,Contemporary Fiction,Live Action,Thriller/Suspense
1306,Despicable Me 2,2013,76000000,368065385,607151450,Kids Fiction,Digital Animation,Adventure
1307,Cloudy with a Chance of Meatballs 2,2013,78000000,119793567,154599082,Kids Fiction,Digital Animation,Adventure
1308,RED 2,2013,84000000,53262560,88244795,Contemporary Fiction,Live Action,Action
1309,Percy Jackson: Sea of Monsters,2013,90000000,68559554,132300000,Fantasy,Animation/Live Action,Adventure
1310,Alvin and the Chipmunks: The Road Chip,2013,90000000,85886987,163630969,Kids Fiction,Animation/Live Action,Adventure
1311,Pixels,2013,90000000,78765986,165275818,Science Fiction,Animation/Live Action,Adventure
1312,Epic,2013,100000000,107518682,155275759,Kids Fiction,Digital Animation,Adventure
1313,Hercules,2013,100000000,72688614,170700000,Fantasy,Live Action,Action
1314,The Hangover 3,2013,103000000,112200072,249800000,Contemporary Fiction,Live Action,Comedy
1315,300: Rise of an Empire,2013,110000000,106580051,224200000,Historical Fiction,Animation/Live Action,Action
1316,The Smurfs 2,2013,110000000,71017784,277529739,Kids Fiction,Animation/Live Action,Adventure
1317,The Wolverine,2013,115000000,132556852,283900000,Super Hero,Live Action,Action
1318,RoboCop,2013,120000000,58607007,184374792,Science Fiction,Live Action,Action
1319,The Hunger Games: Catching Fire,2013,130000000,424668047,440200000,Science Fiction,Live Action,Adventure
1320,The Croods,2013,135000000,187168425,385900000,Kids Fiction,Digital Animation,Adventure
1321,Turbo,2013,135000000,83028130,203868448,Kids Fiction,Digital Animation,Adventure
1322,How to Train Your Dragon 2,2013,145000000,177002924,437583346,Fantasy,Digital Animation,Adventure
1323,Mr. Peabody & Sherman,2013,145000000,111506430,158300000,Kids Fiction,Digital Animation,Adventure
1324,Thor: The Dark World,2013,150000000,206362140,438240376,Super Hero,Live Action,Action
1325,White House Down,2013,150000000,73103784,132336603,Contemporary Fiction,Live Action,Thriller/Suspense
1326,Frozen,2013,150000000,400738009,871731901,Kids Fiction,Digital Animation,Musical
1327,47 Ronin,2013,175000000,38362475,113354340,Fantasy,Live Action,Action
1328,Maleficent,2013,180000000,241407328,517129407,Fantasy,Live Action,Adventure
1329,Pacific Rim,2013,190000000,101802906,309200000,Science Fiction,Live Action,Action
1330,The Amazing Spider-Man 2,2013,200000000,202853933,506142403,Super Hero,Live Action,Action
1331,Transformers: Age of Extinction,2013,210000000,245439076,858600000,Science Fiction,Animation/Live Action,Action
1332,The Hobbit: The Desolation of Smaug,2013,250000000,258366855,702000000,Fantasy,Animation/Live Action,Adventure
1333,The Lone Ranger,2013,275000000,89302115,170700000,Historical Fiction,Live Action,Western
1334,Danny Collins,2014,10000000,5637066,2828779,Contemporary Fiction,Live Action,Comedy
1335,Strangerland,2014,10000000,17472,143625,Contemporary Fiction,Live Action,Drama
1336,Plastic,2014,10000000,0,575371,Contemporary Fiction,Live Action,Action
1337,Big Eyes,2014,10000000,14482031,12835841,Dramatization,Live Action,Drama
1338,American Heist,2014,10000000,0,2341218,Contemporary Fiction,Live Action,Action
1339,Rosewater,2014,10000000,3128941,56776,Dramatization,Live Action,Drama
1340,Elsa & Fred,2014,10000000,67657,130244,Contemporary Fiction,Live Action,Comedy
1341,While We're Young,2014,10000000,7582065,9921763,Contemporary Fiction,Live Action,Comedy
1342,Jungle Shuffle,2014,10000000,0,360898,Kids Fiction,Digital Animation,Adventure
1343,Barbecue,2014,10000000,388,247177,Contemporary Fiction,Live Action,Comedy
1344,La famille Bélier,2014,11000000,0,82438670,Contemporary Fiction,Live Action,Comedy
1345,If I Stay,2014,11000000,50474843,27881327,Contemporary Fiction,Live Action,Drama
1346,Woman in Gold,2014,11000000,33307793,25278614,Contemporary Fiction,Live Action,Drama
1347,Brooklyn,2014,11000000,38322743,23753398,Historical Fiction,Live Action,Drama
1348,The Fault in Our Stars,2014,12000000,124872350,182294484,Contemporary Fiction,Live Action,Drama
1349,Trash,2014,12000000,17484,6535702,Contemporary Fiction,Live Action,Adventure
1350,Top Five,2014,12000000,25317379,684362,Contemporary Fiction,Live Action,Comedy
1351,The Drop,2014,12600000,10724389,8330145,Contemporary Fiction,Live Action,Drama
1352,About Last Night,2014,13000000,48637684,1808176,Contemporary Fiction,Live Action,Romantic Comedy
1353,St. Vincent,2014,13000000,44137712,10699522,Contemporary Fiction,Live Action,Comedy
1354,Ex Machina,2014,13000000,25440971,12917421,Science Fiction,Live Action,Thriller/Suspense
1355,Suffragette,2014,14000000,4702420,29342489,Historical Fiction,Live Action,Drama
1356,Mr. Turner,2014,14000000,3958546,21228480,Dramatization,Live Action,Drama
1357,Freedom,2014,14500000,0,872757,Historical Fiction,Live Action,Drama
1358,Wild,2014,15000000,37880356,14580187,Dramatization,Live Action,Drama
1359,The Imitation Game,2014,15000000,91125143,136615320,Dramatization,Live Action,Drama
1360,When the Game Stands Tall,2014,15000000,30127963,10949,Contemporary Fiction,Live Action,Drama
1361,The November Man,2014,15000000,25018119,9802216,Contemporary Fiction,Live Action,Thriller/Suspense
1362,A Most Wanted Man,2014,15000000,17237855,18831035,Contemporary Fiction,Live Action,Thriller/Suspense
1363,Autómata,2014,15000000,0,6775458,Science Fiction,Live Action,Thriller/Suspense
1364,The Theory of Everything,2014,15000000,35893537,87434155,Dramatization,Live Action,Drama
1365,"Men, Women and Children",2014,16000000,705908,979495,Contemporary Fiction,Live Action,Comedy
1366,The Homesman,2014,16000000,2429989,5787582,Historical Fiction,Live Action,Western
1367,Left Behind,2014,16000000,14019924,6749285,Science Fiction,Live Action,Thriller/Suspense
1368,Let’s Be Cops,2014,17000000,82390774,54500000,Contemporary Fiction,Live Action,Comedy
1369,Escobar: Paradise Lost,2014,17000000,195792,3721887,Historical Fiction,Live Action,Drama
1370,"Mune, le gardien de la lune",2014,17000000,0,14534046,Kids Fiction,Digital Animation,Adventure
1371,"McFarland, USA",2014,17000000,44480275,1227649,Dramatization,Live Action,Drama
1372,And So It Goes,2014,18000000,15160801,2759212,Contemporary Fiction,Live Action,Comedy
1373,Birdman or (The Unexpected Virtue of Ignorance),2014,18000000,42340598,60874496,Fantasy,Live Action,Black Comedy
1374,Wolves,2014,18000000,0,94953,Fantasy,Live Action,Horror
1375,Tammy,2014,20000000,84525432,11882223,Contemporary Fiction,Live Action,Comedy
1376,Endless Love,2014,20000000,23438250,11279923,Contemporary Fiction,Live Action,Drama
1377,A Most Violent Year,2014,20000000,5749134,3097741,Historical Fiction,Live Action,Drama
1378,Selma,2014,20000000,52076908,14699668,Dramatization,Live Action,Drama
1379,Burnt,2014,20000000,13651946,23121564,Contemporary Fiction,Live Action,Comedy
1380,The Light Between Oceans,2014,20000000,12545979,9735753,Historical Fiction,Live Action,Drama
1381,Inherent Vice,2014,20000000,8110975,6661371,Historical Fiction,Live Action,Drama
1382,Little Boy,2014,20000000,6485961,11283338,Historical Fiction,Live Action,Drama
1383,The Hundred-Foot Journey,2014,22000000,54235441,40035047,Contemporary Fiction,Live Action,Romantic Comedy
1384,The Water Diviner,2014,22500000,4200117,26854610,Historical Fiction,Live Action,Drama
1385,The Wedding Ringer,2014,23000000,64460211,15711385,Contemporary Fiction,Live Action,Comedy
1386,Think Like a Man Too,2014,24000000,65028687,4999246,Contemporary Fiction,Live Action,Romantic Comedy
1387,Draft Day,2014,25000000,28842237,1005243,Contemporary Fiction,Live Action,Drama
1388,The Gambler,2014,25000000,33680992,5037039,Contemporary Fiction,Live Action,Drama
1389,Jane Got a Gun,2014,25000000,1513793,2257552,Historical Fiction,Live Action,Western
1390,The Giver,2014,25000000,45090374,10000000,Science Fiction,Live Action,Drama
1391,Yi ge ren de wu lin,2014,25000000,129115,0,Contemporary Fiction,Live Action,Action
1392,Red Sky,2014,25000000,0,91116,Contemporary Fiction,Live Action,Action
1393,Accidental Love,2014,26000000,0,135436,Contemporary Fiction,Live Action,Comedy
1394,The Best of Me,2014,26000000,26766213,14293205,Contemporary Fiction,Live Action,Drama
1395,Viy,2014,26000000,0,34246770,Fantasy,Live Action,Adventure
1396,Brick Mansions,2014,28000000,20396829,53024395,Science Fiction,Live Action,Action
1397,Our Brand is Crisis,2014,28000000,7002261,1592297,Contemporary Fiction,Live Action,Drama
1398,Pitch Perfect 2,2014,29000000,184296230,103329238,Contemporary Fiction,Live Action,Comedy
1399,John Wick,2014,30000000,43037835,33197166,Contemporary Fiction,Live Action,Action
1400,Get on Up,2014,30000000,30569935,2769933,Dramatization,Live Action,Drama
1401,Wild Card,2014,30000000,3200,4312589,Contemporary Fiction,Live Action,Action
1402,United Passions,2014,30000000,918,167914,Contemporary Fiction,Live Action,Drama
1403,Deliver Us from Evil,2014,30000000,30577122,57379496,Fantasy,Live Action,Horror
1404,Thunder and the House of Magic,2014,34000000,4091,62578429,Kids Fiction,Digital Animation,Adventure
1405,The Maze Runner,2014,34000000,102427862,245891999,Science Fiction,Live Action,Thriller/Suspense
1406,Hitman: Agent 47,2014,35000000,22467450,59715353,Contemporary Fiction,Live Action,Action
1407,Sabotage,2014,35000000,10508518,7867925,Contemporary Fiction,Live Action,Action
1408,Poltergeist,2014,35000000,47425125,48287944,Fantasy,Live Action,Horror
1409,Unfinished Business,2014,35000000,10219501,2994550,Contemporary Fiction,Live Action,Comedy
1410,Dolphin Tale 2,2014,36000000,42024533,15800000,Kids Fiction,Live Action,Drama
1411,Aloha,2014,37000000,21052030,4335061,Contemporary Fiction,Live Action,Drama
1412,Victor Frankenstein,2014,40000000,5775076,27194133,Science Fiction,Live Action,Thriller/Suspense
1413,A Million Ways to Die in The West,2014,40000000,42720965,44057592,Historical Fiction,Live Action,Comedy
1414,Lucy,2014,40000000,126573960,330933816,Science Fiction,Live Action,Action
1415,The Other Woman,2014,40000000,83911193,111200000,Contemporary Fiction,Live Action,Comedy
1416,Dragon Nest Warriors' Dawn,2014,40000000,0,734423,Kids Fiction,Digital Animation,Adventure
1417,Dumb and Dumber To,2014,40000000,86208010,70345582,Contemporary Fiction,Live Action,Comedy
1418,Sex Tape,2014,40000000,38543473,87526036,Contemporary Fiction,Live Action,Comedy
1419,Jersey Boys,2014,40000000,47047013,18235719,Dramatization,Live Action,Drama
1420,Horrible Bosses 2,2014,40000000,54445357,51500000,Contemporary Fiction,Live Action,Comedy
1421,The Interview,2014,44000000,6105175,6237457,Contemporary Fiction,Live Action,Comedy
1422,Blended,2014,45000000,46290741,81700000,Contemporary Fiction,Live Action,Romantic Comedy
