,title,production_year,budget,dom_gross,int_gross,creative_type,prod_method,genre
892,The Nutcracker in 3D,2010,90000000,195459,20270557,Kids Fiction,Animation/Live Action,Musical
893,Sex and the City 2,2010,95000000,95347692,199333086,Contemporary Fiction,Live Action,Comedy
894,Unstoppable,2010,95000000,81562942,84157979,Dramatization,Live Action,Action
895,Percy Jackson & the Olympians: The Lightning Thief,2010,95000000,88768303,134282571,Fantasy,Live Action,Adventure
896,The Tourist,2010,100000000,67631157,211100212,Contemporary Fiction,Live Action,Thriller/Suspense
897,Little Fockers,2010,100000000,148438600,162211974,Contemporary Fiction,Live Action,Comedy
898,Green Zone,2010,100000000,35497337,62025683,Historical Fiction,Live Action,Drama
899,The Other Guys,2010,100000000,119219978,51716492,Contemporary Fiction,Live Action,Comedy
900,Legend of the Guardians: The Owls of Ga'Hoole,2010,100000000,55675313,84041404,Kids Fiction,Digital Animation,Adventure
901,The Green Hornet,2010,110000000,98780042,130375461,Super Hero,Live Action,Action
902,Real Steel,2010,110000000,85463309,178417032,Science Fiction,Live Action,Action
903,The A-Team,2010,110000000,77222099,100019072,Contemporary Fiction,Live Action,Action
904,Gulliver's Travels,2010,112000000,42779261,189238587,Fantasy,Animation/Live Action,Adventure
905,Knight and Day,2010,117000000,76423035,182328335,Contemporary Fiction,Live Action,Action
906,How Do You Know?,2010,120000000,30212620,19415557,Contemporary Fiction,Live Action,Romantic Comedy
907,Clash of the Titans,2010,125000000,163214888,330000000,Fantasy,Live Action,Action
908,Harry Potter and the Deathly Hallows: Part I,2010,125000000,296131568,664300000,Fantasy,Animation/Live Action,Adventure
909,Megamind,2010,130000000,148415853,173471355,Kids Fiction,Digital Animation,Adventure
910,Salt,2010,130000000,118311368,172339126,Contemporary Fiction,Live Action,Thriller/Suspense
911,The Wolfman,2010,150000000,62189884,80444474,Fantasy,Live Action,Horror
912,The Last Airbender,2010,150000000,131772187,187941694,Fantasy,Live Action,Adventure
913,Mars Needs Moms,2010,150000000,21392758,18157000,Science Fiction,Digital Animation,Adventure
914,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,155000000,104386950,313800000,Fantasy,Animation/Live Action,Adventure
915,Inception,2010,160000000,292576195,539825887,Science Fiction,Animation/Live Action,Thriller/Suspense
916,The Sorcerer's Apprentice,2010,160000000,63150991,154835329,Fantasy,Animation/Live Action,Adventure
917,How to Train Your Dragon,2010,165000000,217581232,277289760,Fantasy,Digital Animation,Adventure
918,Shrek Forever After,2010,165000000,238736787,517507886,Kids Fiction,Digital Animation,Adventure
919,Iron Man 2,2010,170000000,312433331,308723058,Super Hero,Live Action,Action
920,Tron: Legacy,2010,200000000,172062763,228000000,Science Fiction,Live Action,Adventure
